#SampleID;alias;Compartment;Mesocosm;Sample_type;Water_type;Time;Sampling_date;NA_concentration
103-Mesocosm-4-1-Exp1-TEST-Sed;103-Mesocosm-4-1-Exp1-TEST-Sed;Sediments;Mesocosm_4;No_plant;Artificial_OSPW;D84;13-10-2021;0.3
104-Mesocosm-4-2-Exp1-TEST-Sed;104-Mesocosm-4-2-Exp1-TEST-Sed;Sediments;Mesocosm_4;No_plant;Artificial_OSPW;D84;13-10-2021;0.3
10-Mesocosm-5-2-Exp1-D-0-Sed;10-Mesocosm-5-2-Exp1-D-0-Sed;Sediments;Mesocosm_5;No_plant;Artificial_OSPW;D-0;14-07-2021;0.9
9-Mesocosm-5-1-Exp1-D-0-Sed;9-Mesocosm-5-1-Exp1-D-0-Sed;Sediments;Mesocosm_5;No_plant;Artificial_OSPW;D-0;14-07-2021;0.9
57-Mesocosm-5-1-Exp1-D28-Sed;57-Mesocosm-5-1-Exp1-D28-Sed;Sediments;Mesocosm_5;No_plant;Artificial_OSPW;D28;18-08-2021;0.4
58-Mesocosm-5-2-Exp1-D28-Sed;58-Mesocosm-5-2-Exp1-D28-Sed;Sediments;Mesocosm_5;No_plant;Artificial_OSPW;D28;18-08-2021;0.4
81-Mesocosm-5-1-Exp1-D42-Sed;81-Mesocosm-5-1-Exp1-D42-Sed;Sediments;Mesocosm_5;No_plant;Artificial_OSPW;D42;01-09-2021;0.5
82-Mesocosm-5-2-Exp1-D42-Sed;82-Mesocosm-5-2-Exp1-D42-Sed;Sediments;Mesocosm_5;No_plant;Artificial_OSPW;D42;01-09-2021;0.5
33-Mesocosm-5-1-Exp1-D8-Sed;33-Mesocosm-5-1-Exp1-D8-Sed;Sediments;Mesocosm_5;No_plant;Artificial_OSPW;D8;29-07-2021;0.5
34-Mesocosm-5-2-Exp1-D8-Sed;34-Mesocosm-5-2-Exp1-D8-Sed;Sediments;Mesocosm_5;No_plant;Artificial_OSPW;D8;29-07-2021;0.5
105-Mesocosm-5-1-Exp1-TEST-Sed;105-Mesocosm-5-1-Exp1-TEST-Sed;Sediments;Mesocosm_5;No_plant;Artificial_OSPW;D84;13-10-2021;0.1
106-Mesocosm-5-2-Exp1-TEST-Sed;106-Mesocosm-5-2-Exp1-TEST-Sed;Sediments;Mesocosm_5;No_plant;Artificial_OSPW;D84;13-10-2021;0.1
11-12-Mesocosm-6-1-6-2-Exp1-D-0-Racine;11-12-Mesocosm-6-1-6-2-Exp1-D-0-Racine;Roots;Mesocosm_6;Carex;OSPW;D-0;14-07-2021;1
11-12Mesocosm-6-1-6-2-Exp1-D-0-Rhizo;11-12Mesocosm-6-1-6-2-Exp1-D-0-Rhizo;Rhizosphere;Mesocosm_6;Carex;OSPW;D-0;14-07-2021;1
11-Mesocosm-6-1-Exp1-D-0-Sed;11-Mesocosm-6-1-Exp1-D-0-Sed;Sediments;Mesocosm_6;Carex;OSPW;D-0;14-07-2021;1
12-Mesocosm-6-2-Exp1-D-0-Sed;12-Mesocosm-6-2-Exp1-D-0-Sed;Sediments;Mesocosm_6;Carex;OSPW;D-0;14-07-2021;1
59-Mesocosm-6-1-Exp1-D28-Racine;59-Mesocosm-6-1-Exp1-D28-Racine;Roots;Mesocosm_6;Carex;OSPW;D28;18-08-2021;52.3
59-Mesocosm-6-1-Exp1-D28-Rhizo;59-Mesocosm-6-1-Exp1-D28-Rhizo;Rhizosphere;Mesocosm_6;Carex;OSPW;D28;18-08-2021;52.3
59-Mesocosm-6-1-Exp1-D28-Sed;59-Mesocosm-6-1-Exp1-D28-Sed;Sediments;Mesocosm_6;Carex;OSPW;D28;18-08-2021;52.3
60-Mesocosm-6-2-Exp1-D28-Racine;60-Mesocosm-6-2-Exp1-D28-Racine;Roots;Mesocosm_6;Carex;OSPW;D28;18-08-2021;52.3
60-Mesocosm-6-2-Exp1-D28-Rhizo;60-Mesocosm-6-2-Exp1-D28-Rhizo;Rhizosphere;Mesocosm_6;Carex;OSPW;D28;18-08-2021;52.3
60-Mesocosm-6-2-Exp1-D28-Sed;60-Mesocosm-6-2-Exp1-D28-Sed;Sediments;Mesocosm_6;Carex;OSPW;D28;18-08-2021;52.3
83-Mesocosm-6-1-Exp1-D42-Racine;83-Mesocosm-6-1-Exp1-D42-Racine;Roots;Mesocosm_6;Carex;OSPW;D42;01-09-2021;43.5
83-Mesocosm-6-1-Exp1-D42-Rhizo;83-Mesocosm-6-1-Exp1-D42-Rhizo;Rhizosphere;Mesocosm_6;Carex;OSPW;D42;01-09-2021;43.5
83-Mesocosm-6-1-Exp1-D42-Sed;83-Mesocosm-6-1-Exp1-D42-Sed;Sediments;Mesocosm_6;Carex;OSPW;D42;01-09-2021;43.5
84-Mesocosm-6-2-Exp1-D42-Racine;84-Mesocosm-6-2-Exp1-D42-Racine;Roots;Mesocosm_6;Carex;OSPW;D42;01-09-2021;43.5
84-Mesocosm-6-2-Exp1-D42-Rhizo;84-Mesocosm-6-2-Exp1-D42-Rhizo;Rhizosphere;Mesocosm_6;Carex;OSPW;D42;01-09-2021;43.5
84-Mesocosm-6-2-Exp1-D42-Sed;84-Mesocosm-6-2-Exp1-D42-Sed;Sediments;Mesocosm_6;Carex;OSPW;D42;01-09-2021;43.5
35-Mesocosm-6-1-Exp1-D8-Racine;35-Mesocosm-6-1-Exp1-D8-Racine;Roots;Mesocosm_6;Carex;OSPW;D8;29-07-2021;68.3
35-Mesocosm-6-1-Exp1-D8-Rhizo;35-Mesocosm-6-1-Exp1-D8-Rhizo;Rhizosphere;Mesocosm_6;Carex;OSPW;D8;29-07-2021;68.3
35-Mesocosm-6-1-Exp1-D8-Sed;35-Mesocosm-6-1-Exp1-D8-Sed;Sediments;Mesocosm_6;Carex;OSPW;D8;29-07-2021;68.3
36-Mesocosm-6-2-Exp1-D8-Racine;36-Mesocosm-6-2-Exp1-D8-Racine;Roots;Mesocosm_6;Carex;OSPW;D8;29-07-2021;68.3
36-Mesocosm-6-2-Exp1-D8-Rhizo;36-Mesocosm-6-2-Exp1-D8-Rhizo;Rhizosphere;Mesocosm_6;Carex;OSPW;D8;29-07-2021;68.3
36-Mesocosm-6-2-Exp1-D8-Sed;36-Mesocosm-6-2-Exp1-D8-Sed;Sediments;Mesocosm_6;Carex;OSPW;D8;29-07-2021;68.3
107-Mesocosm-6-1-Exp1-TEST-Racines;107-Mesocosm-6-1-Exp1-TEST-Racines;Roots;Mesocosm_6;Carex;OSPW;D84;13-10-2021;13.1
107-Mesocosm-6-1-Exp1-TEST-Rhizo;107-Mesocosm-6-1-Exp1-TEST-Rhizo;Rhizosphere;Mesocosm_6;Carex;OSPW;D84;13-10-2021;13.1
107-Mesocosm-6-1-Exp1-TEST-Sed;107-Mesocosm-6-1-Exp1-TEST-Sed;Sediments;Mesocosm_6;Carex;OSPW;D84;13-10-2021;13.1
